id_1,id_0,title_1,title_0,brand_name,category,table_name,dependency_ratio,dependency_count,similarity,max_length,min_length,jaro_winker
201,11287,우신화장품 청은로 리네츄레이션 톤업 크림,청은로 리네츄레이션 크림,뷰티베이커리,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,0.6111,18,11,
202,3189,허브에이드 노니반 바이탈라이징 토너,허브에이드 노니반 바이탈라이징 토너,더세컨드에이드,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,16,16,
206,462,퓨어템 퓨어베라 스킨,퓨어템 퓨어베라 스킨,과일나라,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,9,9,
211,548,더 퍼스트 그린티 모이스처 효 스킨,더 퍼스트 그린티 모이스처 효 스킨,과일나라,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,6,1.0,14,14,
212,447,터치 테라피 아르간 토탈 솔루션,터치테라피 아르간 토탈솔루션,과일나라,에센스,naver_beauty_product_info_extended_v1_211217,0.3333,1,1.0,13,13,
213,544,에센셜 콜라겐 리페어링 크림,에센셜 콜라겐 리페어링 크림,과일나라,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,12,12,
215,484,효연 자양 크림,효연 자양크림,과일나라,크림,naver_beauty_product_info_extended_v1_211217,0.5,1,1.0,6,6,
216,546,더 퍼스트 그린티 모이스처 효 크림,더 퍼스트 그린티 모이스처 효 크림,과일나라,크림,naver_beauty_product_info_extended_v1_211217,1.0,6,1.0,14,14,
220,546,더 퍼스트 그린티 모이스처 효 아이 크림,더 퍼스트 그린티 모이스처 효 크림,과일나라,크림,naver_beauty_product_info_extended_v1_211217,1.0,6,0.875,16,14,
220,533,더 퍼스트 그린티 모이스처 효 아이 크림,더 퍼스트 그린티 모이스처 효 아이크림,과일나라,크림,naver_beauty_product_info_extended_v1_211217,0.8333,5,1.0,16,16,
222,416,알로에베라 모이스처 리얼 수딩젤 미스트,알로에베라 모이스처 리얼 수딩젤 미스트,과일나라,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,5,1.0,17,17,
223,536,효연 자양 에센스,효연 자양 에센스,과일나라,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,7,7,
227,553,퓨어템 퓨어베라 수딩 젤,퓨어템 퓨어베라 수딩 젤,과일나라,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,10,10,
228,66271,청귤 비타 잡티 세럼,청귤 비타 잡티 세럼,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,8,8,
228,66228,청귤 비타 잡티 세럼,청귤 비타 잡티 세럼 플러스,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,0.7273,11,8,
229,66225,청귤 비타 토너 패드,청귤 비타 토너 패드,구달,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,8,8,
230,66219,맑은 어성초 진정 에센스,맑은 어성초 진정 에센스,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,10,10,
230,66221,맑은 어성초 진정 에센스,맑은 어성초 진정 에센스 스프레이 타입,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,0.625,16,10,
232,66222,맑은 어성초 진정 수분 크림,맑은 어성초 진정 수분크림,구달,크림,naver_beauty_product_info_extended_v1_211217,0.75,3,1.0,11,11,
232,66266,맑은 어성초 진정 수분 크림,맑은 어성초 진정 수분크림,구달,크림,naver_beauty_product_info_extended_v1_211217,0.75,3,1.0,11,11,
233,47462,살구 콜라겐 탄력 크림,살구 콜라겐 탄력 크림,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,9,9,
235,66224,청귤 비타 다크서클 아이 크림,청귤 비타 다크서클 아이크림,구달,크림,naver_beauty_product_info_extended_v1_211217,0.75,3,1.0,12,12,
235,66232,청귤 비타 다크서클 아이 크림,청귤 비타 크림,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,0.5,12,6,
236,47461,청귤 비타 크림,청귤 비타 크림 인텐스,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,0.6667,9,6,
236,66232,청귤 비타 크림,청귤 비타 크림,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,6,6,
238,47463,살구 콜라겐 탄력 앰플,살구 콜라겐 탄력 앰플,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,9,9,
239,66225,청귤 비타 토너 패드 플러스,청귤 비타 토너 패드,구달,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,4,0.7273,11,8,
241,66234,사과 아하 매끈 토너,사과 아하 매끈 토너,구달,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,8,8,
242,47466,라이스 밀크 로션,비건 라이스 밀크 보습 로션,구달,로션,naver_beauty_product_info_extended_v1_211217,1.0,3,0.6364,11,7,
243,66249,사과 매끈 앰플,사과 아하 매끈 앰플,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,0.75,8,6,
244,66291,수분 장벽 아이크림,수분 장벽 아이크림,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,8,8,
246,66271,청귤 비타 잡티 세럼,청귤 비타 잡티 세럼,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,8,8,
246,66228,청귤 비타 잡티 세럼,청귤 비타 잡티 세럼 플러스,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,0.7273,11,8,
247,66267,청귤 꿀 보습 크림,청귤 꿀 보습 크림,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,7,7,
248,66222,맑은 어성초 진정 수분 크림,맑은 어성초 진정 수분크림,구달,크림,naver_beauty_product_info_extended_v1_211217,0.75,3,1.0,11,11,
248,66266,맑은 어성초 진정 수분 크림,맑은 어성초 진정 수분크림,구달,크림,naver_beauty_product_info_extended_v1_211217,0.75,3,1.0,11,11,
249,66286,동백 보습 장벽 크림,동백 보습장벽 크림,구달,크림,naver_beauty_product_info_extended_v1_211217,0.6667,2,1.0,8,8,
250,66275,청귤 꿀 보습 세럼,청귤 꿀 보습 세럼,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,7,7,
252,66274,청귤 수분 크림,청귤 수분 크림,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,6,6,
252,66293,청귤 수분 크림,청귤 수분 아이 크림,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,0.75,8,6,
253,66282,수분 장벽 크림,수분 장벽 크림,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,6,6,
253,66285,수분 장벽 크림,수분 장벽 크림 프레쉬,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,0.6667,9,6,
254,66264,청귤 꿀 보습 앰플,청귤 꿀 보습 앰플,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,7,7,
255,66298,청귤 꿀 보습 토너,청귤 꿀 보습 토너,구달,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,7,7,
256,66301,청귤 수분 세럼,청귤 수분 세럼,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,6,6,
