id,brand_name,product_name,selection,division,groups
64277,VDL,[단종] 뷰티선 파우더 [SPF50+/PA+++],선케어,선쿠션,마일드선쿠션
111201,VDL,[단종] 뷰티선 [SPF45/PA+++],선케어,선쿠션,마일드선쿠션
98663,크리니크,[단종] 바디 크림 [SPF50+/PA+++],선케어,선크림,워터프루프선크림
98558,크리니크,이븐 베터 시티 블록 안티폴루션 [SPF40/PA+++],선케어,선베이스,
98565,크리니크,시티 블록 쉬어 [SPF25/PA+],선케어,선베이스,
98614,크리니크,페이스 크림 [SPF50/PA+++],선케어,선크림,워터프루프선크림
98673,크리니크,[단종] 애프터 썬 레스큐 밤 위드 알로에,선케어,에프터선,수딩젤
29570,에스티 로더,[단종] 리 뉴트리브 래디언트 유브이 베이스 [SPF50/PA+++],선케어,선베이스,
77815,CNP,[단종] 오메가 선블록 [SPF50+/PA+++],선케어,선크림,마일드선크림
88617,마몽드,[단종] 에브리데이 선크림 [SPF50+/PA+++],선케어,선크림,마일드선크림
88422,마몽드,[단종] 물방울방울 선젤리 [SPF30/PA++],선케어,선젤,
88463,마몽드,[단종] 워셔블 선크림 [SPF36/PA++],선케어,선크림,톤업선크림
88646,마몽드,[단종] 선스프레이 헤드 투 토 [SPF50+/PA+++],선케어,선스프레이,
88592,마몽드,[단종] 베리 워터프루프 선밀크 [SPF50+/PA+++],선케어,선크림,워터프루프선크림
97052,오휘,[단종] 선 프로텍션 벨벳 미스트 선 스프레이 EX [SPF50+/PA+++],선케어,선스프레이,
64323,오휘,[단종] 파우더 선블록 EX+ [SPF50+/PA+++],선케어,선쿠션,마일드선쿠션
97074,오휘,[단종] 선 프로텍션 선스틱 [SPF50+/PA+++],선케어,선스틱,
97031,오휘,[단종] 퍼펙트 선블록 레드 EX+ [SPF50+/PA+++],선케어,선크림,마일드선크림
97088,오휘,[단종] 프리즘 UV 쉴드 [SPF50+/PA+++],선케어,선쿠션,마일드선쿠션
97035,오휘,[단종] 앱솔루트 UV 마스터 100+ [SPF50+/PA+++],선케어,선크림,마일드선크림
97081,오휘,[단종] 모이스트 쿨링 선블록 [SPF50+/PA+++],선케어,선크림,마일드선크림
97086,오휘,[단종] 스마트 커버 선블록 [SPF50+/PA+++],선케어,선베이스,
97093,오휘,[단종] 루미너스 화이트닝 선블록 [SPF45/PA+++],선케어,선크림,마일드선크림
64189,오휘,[단종] 파우더 선블록 내츄럴 스킨 [SPF50+/PA+++],선케어,선쿠션,마일드선쿠션
97040,오휘,[단종] 퍼펙트 선블록 블루 EX+ [SPF50+/PA+++],선케어,선크림,마일드선크림
97084,오휘,[단종] 퍼펙트 선블록 블랙 [SPF50+/PA+++],선케어,선베이스,
87982,이니스프리,[단종] 에코 세이프티 아쿠아 선미스트 [SPF30/PA++],선케어,선스프레이,
87218,이니스프리,[단종] 에코 세이프티 아쿠아 퍼펙트 선젤 [SPF50/PA+++],선케어,선젤,
87068,이니스프리,[단종] 에코 세이프티 아쿠아 데일리 선젤 [SPF30/PA++],선케어,선젤,
87383,이니스프리,[단종] 에코 세이프티 퍼펙트 선블록 [SPF50+/PA+++],선케어,선크림,마일드선크림
88042,이니스프리,[단종] 에코 세이프티 노세범 선 밀크 [SPF50+/PA+++],선케어,선크림,노세범선크림
87964,이니스프리,[단종] 퍼펙트 워터프루프 선블록 [SPF50+/PA+++],선케어,선크림,워터프루프선크림
87419,이니스프리,[단종] 에코 세이프티 데일리 선블록 [SPF35/PA++],선케어,선크림,마일드선크림
87424,이니스프리,[단종] 제주 영귤 수딩 마스크,선케어,에프터선,수딩젤
79958,에뛰드,[단종] 선프라이즈 올 프루프 [SPF50+/PA+++],선케어,선크림,워터프루프선크림
79244,에뛰드,[단종] 수분가득 알로에 수딩젤,선케어,에프터선,수딩젤
79968,에뛰드,[단종] 선프라이즈 내추럴 코렉터 [SPF50+/PA+++],선케어,선베이스,
80077,에뛰드,[단종] 스타일 미 바디 쥬얼 선스프레이 [SPF50+/PA+++],선케어,선스프레이,
95959,로레알파리,유브이 퍼펙트 트랜스패런트 [SPF50+/PA+++],선케어,선크림,마일드선크림
106802,카트린,[단종] 내추럴 100 미네랄 썬킬 [SPF42/PA++],선케어,선쿠션,톤업선쿠션
4272,더페이스샵,[단종] 알로에 후레쉬 올인원 모이스처젤,선케어,애프터선,수딩젤
4279,더페이스샵,[단종] 내추럴선 스마트 쿠션 선 커버 [SPF50+/PA+++],선케어,선쿠션,마일드선쿠션
26975,더페이스샵,[단종] 내추럴선 오일 컷 선 [SPF40/PA++],선케어,선크림,노세범선크림
4401,더페이스샵,[단종] 내추럴선 화이트닝 미스트 선 [SPF40],선케어,선스프레이,
68243,홀리카홀리카,알로에 99% 수딩젤,선케어,에프터선,수딩젤
68833,홀리카홀리카,[단종] UV 원더 쉴드 아이스 선 스폰지 [SPF50+/PA+++],선케어,선쿠션,마일드선쿠션
64164,홀리카홀리카,[단종] UV 원더 쉴드 파우더리 스프레이 [SPF50+/PA+++],선케어,선스프레이,
79975,에뛰드,[단종] 선프라이즈 머스트 데일리 [SPF50+/PA+++],선케어,선크림,마일드선크림
79901,에뛰드,[단종] 선프라이즈 페이스 앤 바디 선스프레이 [SPF50+/PA+++],선케어,선스프레이,
50950,스킨푸드,[단종] 토마토 선 크림 [SPF36/PA++],선케어,선크림,마일드선크림
4357,더페이스샵,[단종] 클린페이스 오일컨트롤 선크림 [SPF35/PA++],선케어,선크림,노세범선크림
4118,더페이스샵,[단종] 내추럴선 아쿠아 선 젤 [SPF40/PA+++],선케어,선젤,
4358,더페이스샵,[단종] 내추럴선 쿨링 미스트 선 [SPF50+/PA+++],선케어,선스프레이,
4214,더페이스샵,[단종] 명한 미인도 천삼송이 미백안색 선크림 [SPF50+/PA+++],선케어,선크림,톤업선크림
4388,더페이스샵,[단종] 내추럴선 슈퍼 퍼펙트 선 크림 [SPF50+/PA+++],선케어,선크림,마일드선크림
85291,넬라,[단종] 원데이 썬컷 미스트 [SPF48/PA+++],선케어,선스프레이,
97901,잇츠스킨,[단종] 스마트 솔루션 365 샤벳 선 스프레이 [SPF50+/PA+++],선케어,선스프레이,
97749,잇츠스킨,[단종] 스마트 솔루션 365 워터리 선 젤 [SPF30/PA++],선케어,선젤,
97831,잇츠스킨,[단종] 스마트 솔루션 365 소프트 선 스틱 [SPF33/PA+++],선케어,선스틱,
99672,네이처리퍼블릭,[단종] 캘리포니아 알로에 파워 라스팅 선스프레이 [SPF50+/PA+++],선케어,선스프레이,
99691,네이처리퍼블릭,[단종] 캘리포니아 알로에 데일리 모이스처 선블럭 [SPF50+/PA+++],선케어,선크림,마일드선크림
99379,네이처리퍼블릭,[단종] 캘리포니아 알로에 마일드 선블럭 [SPF35/PA++],선케어,선크림,마일드선크림
99677,네이처리퍼블릭,[단종] 제주 선인장 90 수딩젤,선케어,에프터선,수딩젤
99645,네이처리퍼블릭,[단종] 캘리포니아 알로에 파워 라스팅 선블럭 [SPF50+/PA+++],선케어,선크림,마일드선크림
