id_1,id_0,title_1,title_0,brand_name,category_1,category_0,similarity,dependency,max_length,min_length,dependency_ratio,dependency_count,jaro_winker,levenshtein_distance,levenshtein_similarity
35610,61912,데미지 클리닉 린스,데미지 클리닉 린스,케라시스,헤어케어,헤어케어,1,1,8,8,1,3,,,
35611,61977,체리 블라썸 퍼퓸 린스,체리 블라썸 퍼퓸 린스,케라시스,헤어케어,헤어케어,1,1,9,9,1,4,,,
35612,61968,엑스트라 데미지 케어 린스,엑스트라 데미지케어 린스,케라시스,헤어케어,헤어케어,1,1,11,11,1,4,,,
35613,62049,두피 프레쉬 쿨 샴푸 플러스,두피 프레쉬 쿨 샴푸 플러스,케라시스,헤어케어,헤어케어,1,1,11,11,1,5,,,
35614,61944,러블리 앤 로맨틱 퍼퓸 트리트먼트,퍼퓸 트리트먼트,케라시스,헤어케어,헤어케어,0.5476,1,14,7,1.0,2,,,
35618,61912,데미지 클리닉 린스,데미지 클리닉 린스,케라시스,헤어케어,헤어케어,1,1,8,8,1,3,,,
35621,61929,엑스트라 데미지케어 샴푸 리필,엑스트라 데미지케어 샴푸,케라시스,헤어케어,헤어케어,0.9487,1,13,11,1.0,3,,,
35622,61947,프로폴리스 에너지 플러스 샴푸,프로폴리스 에너지 샴푸,케라시스,헤어케어,헤어케어,0.9231,0,13,10,1.0,3,,,
35633,32057,쓰리 액티브 디펜스 선크림 spf50+,쓰리 액티브 디펜스 선크림 spf50+ pa++++,케어놀로지,선케어,선케어,0.913,1,23,17,1,5,,,
35634,32062,클리얼리 소프트 클렌저 건성 민감성,클리얼리 소프트 클렌저,케어놀로지,클렌징,클렌징,0.8889,1,15,10,1,3,,,
35635,32059,리블루 인텐시브 리커버리 오일 겔 마스크,리블루 인텐시브 리커버리 오일 겔 마스크,케어놀로지,마스크/팩,마스크/팩,1,1,17,17,1,6,,,
35653,74669,닥터솔루션 옴므 아크네 폼 클렌저,닥터솔루션 옴므 아크네 폼 클렌저,케어존,남성화장품,남성화장품,1,1,14,14,1,5,,,
35654,74631,초미세미세 클렌징 워터,초미세미세 클렌징워터,케어존,클렌징,클렌징,1,1,10,10,1,3,,,
35656,74694,얼티밋 모이스처 딥 클렌징 세럼,얼티밋 모이스처 클렌징 세럼,케어존,클렌징,클렌징,0.9744,0,13,12,1.0,4,,,
35658,74638,옴므 센서티브 토너,닥터솔루션 옴므 센서티브 토너,케어존,남성화장품,남성화장품,0.8718,1,13,8,1.0,3,,,
35660,74697,닥터 솔루션 클렌징 티슈,닥터 클렌징 티슈,케어존,클렌징,클렌징,0.9,0,10,7,1.0,3,,,
35661,74703,노르데나우 워터 아쿠아 필링,노르데나우 워터 아쿠아 필링,케어존,클렌징,클렌징,1,1,12,12,1,4,,,
35662,74668,옴므 올인원 플루이드,옴므 올인원 플루이드,케어존,남성화장품,남성화장품,1,1,9,9,1,3,,,
35663,74608,약산성 폼 클렌저,약산성 폼 클렌저,케어존,클렌징,클렌징,1,1,7,7,1,3,,,
35665,74620,닥터솔루션 트러블 케어 마스크,트러블 케어 마스크,케어존,마스크/팩,마스크/팩,0.8718,1,13,8,1.0,3,,,
35666,53122,딥클린 젠틀 필링 젤,딥클린 젠틀 필링젤,케어존,클렌징,클렌징,1,1,8,8,1,4,,,
35667,74645,닥터솔루션 아큐어 클래리파잉 스팟 패치,닥터솔루션 아큐어 클래리파잉 스팟 패치,케어존,마스크/팩,마스크/팩,1,1,17,17,1,5,,,
35671,74654,노르데나우 워터 수분 마스크,노르데나우 워터 수분 샤워 마스크,케어존,마스크/팩,마스크/팩,0.9524,0,14,12,1.0,4,,,
35674,74625,더마 리페어 시카 선스틱 spf47,더마 리페어 시카 선스틱 spf47 pa+++,케어존,선케어,선케어,0.9167,1,20,15,1.0,5,,,
35675,74659,아큐어 클리어링 앤 카밍 마스크,아큐어 마스크,케어존,마스크/팩,마스크/팩,0.5769,0,13,6,1.0,2,,,
35679,74661,아크네 클래리파잉 폼클렌저,닥터솔루션 아크네 클래리파잉 폼 클렌저,케어존,클렌징,클렌징,0.902,1,17,12,1.0,3,,,
35706,85496,아이 섀이드 마커,아이 섀이드 마커,케이트,아이라이너,아이라이너,1,1,7,7,1,3,,,
35707,80852,래쉬 맥시마이저,래쉬 맥시마이저,케이트,마스카라,마스카라,1,1,7,7,1,2,,,
35708,85518,미네랄 마스크 크림 spf30,미네랄 마스크 크림 spf30 pa++,케이트,베이스메이크업,베이스메이크업,0.9216,1,17,13,1.0,4,,,
35709,85475,슈퍼 샤프 라이너,슈퍼 샤프 라이너,케이트,아이라이너,아이라이너,1,1,7,7,1,3,,,
35710,85475,슈퍼 샤프 라이너,슈퍼 샤프 라이너,케이트,아이라이너,아이라이너,1,1,7,7,1,3,,,
35711,85483,딥 리퀴드 아이라이너,딥 리퀴드 아이라이너,케이트,아이라이너,아이라이너,1,1,9,9,1,3,,,
35712,85471,핏 레어 젤 펜슬,핏 레어 젤 펜슬,케이트,아이라이너,아이라이너,1,1,6,6,1,4,,,
35714,85484,래스팅 아이브로우,래스팅 아이브로우,케이트,아이브로,아이브로,1,1,8,8,1,2,,,
35715,85494,워터 인 오일 비비,워터 인 오일 비비 pa++ spf20,케이트,베이스메이크업,베이스메이크업,0.8125,1,16,7,1.0,4,,,
35716,85475,슈퍼 샤프 라이너,슈퍼 샤프 라이너,케이트,아이라이너,아이라이너,1,1,7,7,1,3,,,
35717,85473,아이브로우 컬러,아이브로우 컬러,케이트,아이브로,아이브로,1,1,7,7,1,2,,,
35718,85482,샤프 락 젤 펜슬,샤프 락 젤 펜슬,케이트,아이라이너,아이라이너,1,1,6,6,1,4,,,
35719,32078,익스폴리케이트 인텐시브 익스폴리에이팅 트리트먼트,익스폴리케이트 인텐시브 익스폴리에이팅 트리트먼트,케이트서머빌,클렌징,클렌징,1,1,23,23,1,4,,,
35732,109818,베타시아닌 펄 왁싱 칼라,베타시아닌 펄 왁싱 헤어 매니큐어 칼라,코겐,헤어케어,헤어케어,0.875,0,16,10,1.0,4,,,
35733,32124,클렌징 워터 클로스,클렌징 워터 클로스,코겐도,클렌징,클렌징,1,1,8,8,1,3,,,
35734,32120,클렌징 스파 워터,클렌징 스파 워터,코겐도,클렌징,클렌징,1,1,7,7,1,3,,,
35736,32139,오리엔탈 플렌츠 페이셜 워시,오리엔탈 플렌츠 페이셜 워시,코겐도,클렌징,클렌징,1,1,12,12,1,4,,,
35745,67814,스페셜 네일 폴리쉬,스페셜 네일 폴리쉬,코나드,네일케어,네일케어,1,1,8,8,1,3,,,
35747,67819,레귤러 네일 폴리쉬,레귤러 네일 폴리쉬,코나드,네일케어,네일케어,1,1,8,8,1,3,,,
35748,67814,스페셜 네일 폴리쉬,스페셜 네일 폴리쉬,코나드,네일케어,네일케어,1,1,8,8,1,3,,,
35752,67817,컬러 젤 폴리쉬,컬러 젤 폴리쉬,코나드,네일케어,네일케어,1,1,6,6,1,3,,,
35756,72001,슈퍼 라스팅 브러쉬 라이너,슈퍼 라스팅 브러쉬 라이너,코드글로컬러,아이라이너,아이라이너,1,1,11,11,1,4,,,
35758,72031,피 아이락킹 브로우 듀얼,아이락킹 브로우,코드글로컬러,아이브로,아이브로,0.9,1,10,7,1.0,2,,,
35759,72023,슈퍼라스팅 슬림 젤 펜슬 라이너,슈퍼 라스팅 슬림 젤 펜슬 라이너,코드글로컬러,아이라이너,아이라이너,1,1,13,13,1,5,,,
35760,72027,피 포팁스 브로우 틴트,피 포팁스 브로우 틴트,코드글로컬러,아이브로,아이브로,1,1,9,9,1,4,,,
35761,72003,토스트 섀도우 팔레트,토스트 섀도우 팔레트,코드글로컬러,아이섀도,아이섀도,1,1,9,9,1,3,,,
35762,72018,크림볼 립 틴트스틱,크림 볼 립 틴트 스틱,코드글로컬러,립메이크업,립메이크업,1,1,8,8,1,3,,,
35763,72048,엘 모노 브로우카라,엘 모노 브로우카라,코드글로컬러,아이브로,아이브로,1,1,8,8,1,3,,,
35764,72025,피 픽싱 마스카라 볼륨 앤 컬링,볼륨 마스카라,코드글로컬러,마스카라,마스카라,0.6667,0,12,6,1.0,2,,,
35765,72000,스파클링 워터 틴트,스파클링 워터틴트,코드글로컬러,립메이크업,립메이크업,1,1,8,8,1,3,,,
35766,72009,피 픽싱 마스카라 디테일 컬링,픽싱 마스카라 디테일컬링,코드글로컬러,마스카라,마스카라,0.9722,1,12,11,1.0,3,,,
35770,77389,프레쉬 드라이 샴푸,드라이 샴푸 프레쉬,코랩,헤어케어,헤어케어,0.75,0,8,8,1.0,3,,,
35771,77393,파라다이스 드라이 샴푸,드라이 샴푸 파라다이스,코랩,헤어케어,헤어케어,0.6,0,10,10,1.0,3,,,
35772,77394,유니콘 드라이 샴푸,드라이 샴푸 유니콘,코랩,헤어케어,헤어케어,0.75,0,8,8,1.0,3,,,
35773,77390,프루티 드라이 샴푸,드라이 샴푸 프루티,코랩,헤어케어,헤어케어,0.75,0,8,8,1.0,3,,,
35778,32189,더모 프로텍션 선 밤 spf50+,더모 프로텍션 선 밤 spf50+ pa+++,코르테,선케어,선케어,0.9123,1,19,14,1.0,5,,,
35788,92513,세니떼 에코피칼 선 프레쉬 spf50,세니떼 에코피칼 선프레쉬 spf50+ pa+++,코리아나,선케어,선케어,0.9091,1,22,16,1.0,5,,,
35794,92606,발효 녹두 깨끗한 클렌징 워터,발효녹두 깨끗한 클렌징 워터,코리아나,클렌징,클렌징,1,1,12,12,1,5,,,
35798,92601,발효 녹두 깨끗한 폼 클렌징,발효녹두 깨끗한 폼클렌징,코리아나,클렌징,클렌징,1,1,11,11,1,5,,,
35805,92561,세니떼 프레쉬 허브 네이처 클렌징 티슈,세니떼 프레쉬 허브네이처 클렌징 티슈,코리아나,클렌징,클렌징,1,1,16,16,1,6,,,
35826,92561,세니떼 프레쉬 허브 네이처 클렌징 티슈,세니떼 프레쉬 허브네이처 클렌징 티슈,코리아나,클렌징,클렌징,1,1,16,16,1,6,,,
35828,92525,자인 생기 진 수면팩,자인 생기 수면팩,코리아나,마스크/팩,마스크/팩,0.9583,0,8,7,1.0,3,,,
